household_id,SAMPN,HH_ZONE_ID,HH_WEIGHT,HH_SIZE,HH_VEH,HH_WORKERS
1751,1751,817,,3,3,1
1752,1752,817,,2,1,2
1753,1753,817,,1,2,1
1754,1754,817,,2,1,2
1755,1755,817,,4,1,2
1756,1756,817,,9,2,1
1757,1757,389,,4,3,2
1758,1758,388,,1,1,1
1760,1760,1340,,5,3,2
1761,1761,1340,,3,2,3
1762,1762,359,,4,3,3
1763,1763,359,,5,3,3
1764,1764,1340,,6,3,4
1765,1765,357,,4,3,2
1766,1766,1340,,5,2,4
1767,1767,359,,4,4,2
1768,1768,359,,3,2,3
1769,1769,359,,2,2,2
1770,1770,1339,,4,2,1
1771,1771,359,,3,2,1
1772,1772,359,,3,1,2
1773,1773,359,,3,2,2
1774,1774,1340,,1,2,1
1776,1776,388,,1,2,1
1778,1778,1340,,1,2,1
1780,1780,359,,4,2,1
1781,1781,359,,3,2,1
1782,1782,359,,4,1,1
1783,1783,1340,,4,2,1
1784,1784,1340,,3,1,1
1785,1785,1340,,3,2,1
1786,1786,1340,,3,1,1
1787,1787,1340,,5,1,2
1788,1788,359,,5,2,3
1789,1789,359,,5,2,1
1790,1790,359,,6,3,3
1791,1791,359,,6,3,1
1792,1792,359,,3,3,1
1793,1793,1340,,1,1,1
1795,1795,388,,6,4,1
1796,1796,389,,5,3,4
1797,1797,389,,7,5,4
1798,1798,388,,4,3,2
1799,1799,388,,3,2,2
1800,1800,388,,3,2,2
1801,1801,388,,3,3,2
1802,1802,389,,4,2,2
1803,1803,389,,1,3,1
1805,1805,389,,5,4,1
1806,1806,389,,1,2,1
1808,1808,389,,4,2,3
1809,1809,389,,1,2,1
1811,1811,466,,9,2,4
1812,1812,545,,7,4,3
1813,1813,537,,4,5,1
1814,1814,545,,6,3,1
1815,1815,537,,4,5,1
1816,1816,545,,1,1,1
1818,1818,541,,4,2,3
1819,1819,525,,1,5,1
1822,1822,538,,4,1,2
1823,1823,538,,4,1,4
1824,1824,538,,1,1,1
1828,1828,539,,4,1,1
1829,1829,538,,5,1,3
1830,1830,538,,7,2,3
1831,1831,537,,2,4,1
1832,1832,591,,1,1,1
1833,1833,591,,4,1,1
1834,1834,591,,1,1,1
1835,1835,592,,1,1,1
1837,1837,541,,8,5,2
1838,1838,541,,2,6,2
1839,1839,541,,1,0,1
1841,1841,591,,1,0,1
1842,1842,591,,2,1,2
1843,1843,591,,3,1,1
1844,1844,591,,2,1,2
1845,1845,592,,4,0,2
1846,1846,592,,6,2,4
1847,1847,539,,3,2,1
1848,1848,538,,1,2,1
1850,1850,539,,4,1,2
1851,1851,539,,2,0,1
1852,1852,539,,3,0,2
1853,1853,489,,4,0,1
1854,1854,539,,4,2,2
1855,1855,539,,3,1,2
1856,1856,539,,4,2,2
1857,1857,539,,4,2,4
1858,1858,543,,1,0,1
1859,1859,799,,1,0,1
1860,1860,799,,2,0,1
1861,1861,799,,1,0,1
1863,1863,819,,6,1,1
1864,1864,819,,4,2,1
1865,1865,819,,3,2,1
1866,1866,819,,1,1,1
1868,1868,819,,3,2,1
1869,1869,819,,3,2,1
1870,1870,819,,4,1,1
1871,1871,819,,3,2,1
1872,1872,819,,3,3,2
1873,1873,819,,4,3,1
1874,1874,819,,3,2,2
1875,1875,485,,4,2,1
1876,1876,486,,3,1,1
1877,1877,486,,3,2,2
1878,1878,486,,1,0,1
1880,1880,492,,4,3,3
1881,1881,505,,1,2,1
1883,1883,819,,4,4,2
1884,1884,819,,3,2,3
1885,1885,819,,2,3,1
1886,1886,819,,2,3,1
1887,1887,819,,5,2,3
1888,1888,492,,3,3,3
1889,1889,487,,2,1,1
1890,1890,492,,6,0,4
1891,1891,488,,3,1,2
1892,1892,819,,4,2,1
1893,1893,819,,4,2,1
1894,1894,819,,4,2,1
1895,1895,819,,4,2,2
1896,1896,819,,3,2,2
1897,1897,819,,4,2,1
1898,1898,819,,4,3,1
1899,1899,819,,1,3,1
1900,1900,819,,5,1,1
1901,1901,819,,3,3,1
1902,1902,819,,5,2,2
1903,1903,498,,4,1,2
1904,1904,498,,4,2,1
1905,1905,498,,8,0,2
1906,1906,498,,4,3,3
1907,1907,495,,1,3,1
1908,1908,495,,4,0,3
1909,1909,495,,3,1,3
1910,1910,492,,4,3,3
1911,1911,495,,3,2,2
1912,1912,492,,4,1,1
1913,1913,819,,7,2,2
1914,1914,819,,1,3,1
1916,1916,495,,3,1,2
1917,1917,495,,4,1,2
1918,1918,495,,3,1,3
1919,1919,495,,4,1,1
1920,1920,495,,3,2,2
1921,1921,495,,1,1,1
1922,1922,819,,4,2,1
1923,1923,819,,2,1,1
1924,1924,819,,4,2,2
1925,1925,819,,4,2,1
1926,1926,819,,3,2,2
1927,1927,819,,1,2,1
1929,1929,819,,3,2,2
1930,1930,819,,4,2,2
1931,1931,819,,1,2,1
1933,1933,819,,3,2,1
1934,1934,503,,4,1,1
1935,1935,503,,2,1,1
1936,1936,503,,5,1,5
1937,1937,503,,4,0,1
1938,1938,502,,1,1,1
1940,1940,502,,4,2,1
1941,1941,502,,3,0,1
1942,1942,502,,5,1,1
1943,1943,502,,4,0,2
1944,1944,502,,3,2,1
1945,1945,502,,2,2,1
1946,1946,502,,4,1,2
1947,1947,502,,6,1,3
1948,1948,502,,3,2,2
1949,1949,502,,4,2,2
1950,1950,502,,2,2,2
1951,1951,502,,2,1,1
1952,1952,502,,4,1,2
1953,1953,502,,1,1,1
1954,1954,502,,1,1,1
1955,1955,502,,4,1,1
1956,1956,502,,4,1,1
1957,1957,502,,4,1,1
1958,1958,502,,3,2,1
1959,1959,502,,1,1,1
1960,1960,502,,1,1,1
1962,1962,502,,1,1,1
1963,1963,502,,1,1,1
1965,1965,502,,3,1,1
1966,1966,502,,3,0,1
1967,1967,503,,2,1,2
1968,1968,502,,1,1,1
1970,1970,469,,5,0,3
1971,1971,469,,2,2,1
1972,1972,502,,4,1,2
1973,1973,502,,3,0,1
1974,1974,464,,1,1,1
1977,1977,477,,4,3,1
1978,1978,465,,4,1,1
1979,1979,465,,4,2,1
1980,1980,502,,1,1,1
1984,1984,477,,4,2,2
1985,1985,477,,4,1,1
1986,1986,502,,4,1,2
1987,1987,502,,3,2,1
1988,1988,502,,7,1,1
1989,1989,502,,4,1,1
1990,1990,502,,1,1,1
1993,1993,578,,1,1,1
1995,1995,595,,1,6,1
2001,2001,752,,5,4,1
2002,2002,753,,1,2,1
2004,2004,751,,5,3,4
2005,2005,751,,8,2,1
2006,2006,752,,4,2,1
2007,2007,752,,4,3,2
2008,2008,752,,4,4,2
2009,2009,751,,4,3,3
2010,2010,754,,7,2,4
2011,2011,752,,1,6,1
2012,2012,749,,1,1,1
2014,2014,752,,4,2,1
2015,2015,751,,3,3,1
2016,2016,751,,4,3,1
2017,2017,366,,1,1,1
2021,2021,365,,4,6,1
2022,2022,394,,8,2,1
2023,2023,419,,5,2,1
2024,2024,393,,4,3,1
2025,2025,366,,1,1,1
2027,2027,394,,3,5,1
2028,2028,417,,4,2,1
2029,2029,366,,7,2,2
2030,2030,365,,4,4,2
2031,2031,394,,3,4,2
2032,2032,366,,4,2,1
2033,2033,366,,6,2,3
2034,2034,366,,8,3,2
2035,2035,366,,1,2,1
2037,2037,394,,7,2,1
2038,2038,398,,6,2,1
2039,2039,396,,1,3,1
2041,2041,396,,4,6,1
2042,2042,366,,2,2,1
2043,2043,366,,5,1,3
2044,2044,366,,6,3,4
2045,2045,366,,3,4,2
2046,2046,366,,1,1,1
2048,2048,366,,1,2,1
2052,2052,366,,7,1,2
2053,2053,365,,1,2,1
2055,2055,394,,1,3,1
2058,2058,892,,1,2,1
2060,2060,366,,3,2,3
2061,2061,366,,5,1,2
2062,2062,366,,3,2,2
2063,2063,366,,4,1,1
2064,2064,366,,6,2,5
2065,2065,366,,2,2,1
2066,2066,366,,4,1,1
2067,2067,366,,4,2,2
2068,2068,366,,5,3,2
2069,2069,366,,1,2,1
2070,2070,366,,1,1,1
2071,2071,397,,4,1,1
2072,2072,397,,1,1,1
2074,2074,366,,4,1,2
2075,2075,366,,3,2,2
2076,2076,366,,1,1,1
2078,2078,366,,3,1,1
2079,2079,366,,4,1,2
2080,2080,394,,5,2,2
2081,2081,394,,4,3,1
2082,2082,394,,5,2,2
2083,2083,394,,1,2,1
2085,2085,418,,7,2,4
2086,2086,419,,1,7,1
2088,2088,418,,2,4,1
2089,2089,366,,4,2,1
2090,2090,418,,1,2,1
2093,2093,251,,1,5,1
2096,2096,254,,1,4,1
2099,2099,819,,1,2,1
2101,2101,834,,6,7,3
2102,2102,251,,1,5,1
2104,2104,817,,2,2,2
2105,2105,817,,2,1,2
